150,Yes,rock,14,13,39,0
266,No,rock,40,102,58,1
198,Yes,other,3,56,71,1
199,Yes,other,9,33,91,1
197,Yes,other,6,25,39,1
348,No,hiphop,96,158,96,0
411,No,other,19,31,40,1
88,Yes,electronic,47,229,194,1
407,No,other,9,59,50,1
15,Yes,rock,82,139,189,1
20,Yes,electronic,34,139,146,1
147,Yes,rock,41,88,79,1
163,Yes,rock,46,158,71,1
272,No,electronic,20,56,84,1
422,No,electronic,40,106,58,0
10,Yes,electronic,93,268,228,1
125,Yes,electronic,61,160,124,1
97,Yes,electronic,109,267,286,1
286,No,electronic,6,24,23,0
371,No,electronic,14,75,34,0
81,Yes,electronic,75,180,251,1
283,No,other,18,35,35,0
316,No,electronic,31,51,46,0
130,Yes,electronic,66,157,148,1
306,No,electronic,30,33,71,1
298,No,other,14,35,31,0
67,Yes,electronic,25,164,83,1
86,Yes,electronic,81,215,125,1
225,No,electronic,67,89,79,0
100,Yes,electronic,90,103,118,0
377,No,rock,29,83,23,0
196,Yes,other,1,10,39,1
255,No,rock,52,135,56,0
181,Yes,hiphop,69,203,200,1
314,No,hiphop,50,83,51,0
291,No,electronic,7,20,23,0
303,No,electronic,27,40,21,0
162,Yes,rock,59,175,149,1
302,No,other,11,28,25,0
14,Yes,rock,21,32,193,1
357,No,other,6,22,23,0
250,No,rock,19,47,21,0
324,No,hiphop,89,145,127,0
175,Yes,rock,81,159,168,1
398,No,rock,42,87,28,0
48,Yes,rock,16,52,30,0
210,Yes,other,22,75,87,1
355,No,rock,39,113,58,1
23,Yes,electronic,59,146,125,1
308,No,other,0,6,23,1
410,No,rock,56,88,63,0
124,Yes,electronic,89,179,264,1
138,Yes,rock,27,87,103,1
43,Yes,rock,20,32,44,1
200,Yes,other,2,36,61,1
394,No,rock,61,120,84,0
2,Yes,electronic,101,302,357,1
276,No,other,11,31,31,0
245,No,electronic,7,17,12,0
152,Yes,rock,70,117,109,1
376,No,rock,59,135,82,0
356,No,electronic,49,33,43,0
238,No,rock,28,60,39,0
365,No,other,6,37,27,1
172,Yes,rock,70,220,95,0
98,Yes,electronic,56,227,194,1
224,No,electronic,48,58,81,0
230,No,electronic,24,28,54,1
229,No,rock,48,98,55,0
151,Yes,rock,52,75,144,1
