89,1,0,84,274,286,1
432,0,0,13,23,23,0
46,1,3,17,22,37,0
45,1,3,45,154,37,0
60,1,0,22,66,96,1
343,0,0,48,56,54,0
8,1,0,104,227,246,1
217,0,1,18,58,129,1
78,1,0,79,168,149,1
177,1,1,30,81,79,1
375,0,3,10,33,31,0
113,1,0,61,128,143,1
214,1,3,28,95,103,1
142,1,2,39,86,79,0
75,1,0,34,92,118,1
203,1,3,12,36,114,1
338,0,1,94,130,127,0
333,0,2,28,101,50,0
51,1,0,83,223,16,0
168,1,2,104,222,201,0
171,1,2,54,183,137,1
369,0,3,6,46,29,1
122,1,0,124,288,287,1
53,1,0,10,34,91,1
195,1,3,0,17,39,1
404,0,0,43,83,28,0
50,1,2,25,45,20,0
131,1,0,52,211,187,1
249,0,0,11,33,8,0
402,0,3,12,26,23,0
55,1,0,23,59,78,1
182,1,1,219,219,169,0
95,1,0,54,143,124,1
133,1,2,11,20,39,0
157,1,2,79,208,236,1
260,0,3,7,37,27,0
412,0,2,49,126,58,0
24,1,2,37,104,121,1
56,1,0,105,319,287,1
310,0,0,29,64,60,1
190,1,1,234,310,227,0
385,0,3,11,73,74,1
400,0,2,27,91,34,0
222,0,2,110,243,92,0
120,1,0,59,237,194,1
232,0,0,14,78,52,0
206,1,3,22,66,96,1
261,0,0,5,7,36,1
295,0,3,24,82,34,0
17,1,1,37,58,183,1
3,1,1,93,244,353,1
353,0,1,73,138,102,0
374,0,3,14,30,25,0
271,0,3,7,8,36,1
301,0,3,10,22,23,0
161,1,2,70,130,131,1
11,1,2,39,108,207,1
223,0,0,26,51,83,1
83,1,0,28,120,158,0
38,1,0,44,149,71,0
240,0,0,45,49,22,0
408,0,0,1,6,23,1
424,0,0,1,44,27,1
180,1,1,69,229,95,0
129,1,0,79,219,148,1
430,0,0,58,119,84,0
331,0,2,25,3,57,1
176,1,2,67,161,148,1
79,1,0,64,126,130,1
345,0,1,45,50,54,0
22,1,0,61,150,129,1
265,0,0,17,53,57,1
106,1,0,85,175,264,1
257,0,3,11,16,36,0
280,0,3,4,61,63,1
275,0,0,70,331,98,0
189,1,1,65,182,149,1
102,1,0,40,136,109,1
216,0,2,74,105,132,1
191,1,1,190,320,227,0
349,0,2,55,117,58,0
341,0,1,79,105,117,0
256,0,2,53,72,60,0
117,1,0,66,210,95,0
207,1,3,30,100,118,1
264,0,0,9,9,36,0
279,0,3,19,115,53,1
399,0,3,11,4,57,1
115,1,0,64,179,149,1
74,1,0,94,164,186,1
185,1,1,86,244,300,1
392,0,3,9,44,29,0
72,1,0,25,62,149,1
350,0,0,7,40,27,0
27,1,2,59,235,110,0
409,0,3,14,48,35,0
347,0,3,13,29,25,0
313,0,3,15,19,36,0
33,1,2,76,86,85,0
288,0,0,7,28,13,0
344,0,3,6,10,36,1
159,1,2,67,163,149,1
64,1,0,40,169,74,1
293,0,3,9,23,23,0
403,0,2,40,98,58,0
242,0,0,18,36,19,0
386,0,0,17,5,57,1
233,0,0,43,37,49,0
315,0,2,29,40,43,0
270,0,2,38,164,74,1
382,0,3,14,18,36,0
59,1,0,30,116,172,1
160,1,2,30,117,172,1
241,0,3,17,41,22,0
62,1,0,32,136,93,1
248,0,3,5,44,9,0
110,1,0,88,173,264,1
40,1,2,32,144,62,1
132,1,2,2,11,39,0
76,1,0,45,112,151,1
174,1,2,91,214,125,1
127,1,0,135,281,287,1
228,0,3,43,39,58,0
367,0,2,16,53,57,0
221,0,2,110,243,96,0
220,0,0,110,243,105,0
414,0,3,12,35,31,0
186,1,1,40,192,101,0
112,1,0,95,278,287,1
49,1,3,12,78,24,0
91,1,0,74,170,149,1
309,0,3,5,13,23,0
282,0,3,14,88,34,0
268,0,3,7,62,63,1
